transaction_id,product_name,product_price,transaction_date,customer_id,customer_name,customer_email,customer_country,customer_postal_code,customer_age
521,Classic Cheeseburger Mix,530.0,12/25/2020,1,Bobbie Burfitt,bburfitt0@nature.com,Peru,,30
388,Fitness Balance Ball,545.68,11/22/2020,2,Paddie Gainforth,pgainforth1@mlb.com,Philippines,3905,30
994,Vegetable Stir-Fry Sauce,965.32,9/8/2020,3,Ailsun Fort,afort2@icio.us,Sweden,124 54,61
865,Silicone Baking Molds,441.09,6/21/2020,4,Raynor Durdy,rdurdy3@biglobe.ne.jp,Sweden,512 93,27
355,Ski Goggles,618.83,11/23/2020,5,Hetty Philipot,hphilipot4@mit.edu,Peru,,46
555,Coconut Curry Chicken,168.06,7/12/2020,6,Sawyer Smees,ssmees5@earthlink.net,China,,49
682,Lemon Dill Salmon,213.36,3/13/2020,7,Vergil Polet,vpolet6@china.com.cn,China,,81
227,Electric Screwdriver,901.72,10/12/2020,8,Sheffy Briscoe,sbriscoe7@tamu.edu,Philippines,2306,78
600,Marinara Parmesan Baked Ziti,492.24,5/6/2020,9,Sonnie Willgress,swillgress8@sina.com.cn,Russia,184606,37
609,Low-Fat Yogurt,241.75,9/24/2020,10,Violante Malimoe,vmalimoe9@japanpost.jp,China,,81
734,Silicone Baking Mat Set,70.93,6/19/2020,11,Xena Woloschin,xwoloschina@omniture.com,Indonesia,,38
445,Turkey Bacon,22.32,7/28/2020,12,Archer Hundell,ahundellb@hugedomains.com,Indonesia,,49
963,Garden Hose Reel,884.94,6/28/2020,13,Joelly Yegorkin,jyegorkinc@zdnet.com,China,,65
967,Spiralizer,564.78,3/29/2020,14,Nita Pearle,npearled@dion.ne.jp,China,,84
933,Gardening Tools Set,499.52,5/15/2020,15,Erie Doyland,edoylande@dedecms.com,Hungary,9404,46
286,Spicy Snack Mix,77.16,6/20/2020,16,Jannel Dwine,jdwinef@t.co,France,69245 CEDEX 05,77
728,Instant Mashed Potatoes,66.22,9/10/2020,17,Kenon McShee,kmcsheeg@deviantart.com,Philippines,5503,84
400,Pet Carrier,168.57,3/11/2020,18,Tomasine Ruddick,truddickh@abc.net.au,Czech Republic,330 12,67
551,Caramel Sauce,385.33,8/30/2020,19,Esteban Giddins,egiddinsi@slashdot.org,China,,53
583,Foot Massager Machine,149.78,8/11/2020,20,Olenka Blakesley,oblakesleyj@bbc.co.uk,France,76804 CEDEX,44
706,Self-Stirring Mug,705.08,1/12/2020,21,Hewie Marguerite,hmargueritek@geocities.com,China,,71
456,Vegetable Spring Rolls,241.54,4/18/2020,22,Fay Lound,floundl@arizona.edu,Philippines,4508,72
645,Vegetable Broth,53.61,11/5/2020,23,Georas Ream,greamm@noaa.gov,Indonesia,,80
820,Chocolate Mint Protein Shake,619.49,5/21/2020,24,Linn McGerr,lmcgerrn@examiner.com,Guatemala,03012,72
520,Adjustable Resistance Bands,711.05,8/27/2020,25,Abbe Dineen,adineeno@newsvine.com,Colombia,250047,79
450,LED Under Cabinet Lighting,147.32,10/10/2020,26,Pat Slafford,pslaffordp@360.cn,Mongolia,,58
923,Feta Cheese,201.96,10/10/2020,27,Merwyn Jerrom,mjerromq@networkadvertising.org,Poland,48-100,63
531,Rechargeable Battery Organizer,52.75,2/21/2020,28,Marlo Swafford,mswaffordr@yale.edu,China,,77
994,Ground Turkey,133.87,6/14/2020,29,Camey Mattacks,cmattackss@senate.gov,China,,67
